"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","module","type"
"93","GCK",1.48900292336685,8.354008512481,45.8716245596842,2.86558074587923e-321,4.70844560486708e-320,725.395378402634,16,"e"
"94","GFAP",1.21717447192545,9.60578443379374,46.1996173751722,0,0,732.443598287671,2,"e"
"95","GJD2",2.99499236430298,7.14559893336201,79.8172404250946,0,0,1474.01191218358,2,"e"
"96","GLIS1",1.3029778171639,8.17755935278616,37.0098737180344,1.3659041903633e-232,1.111289040315e-231,521.328462340233,117,"a"
"97","GLRA1",1.63750891626168,6.54808965172805,32.5522792903871,1.92166138294439e-189,1.12219668216544e-188,422.327579962735,17,"e"
"98","GLRA2",3.02461003947639,7.53606509868007,72.5376043384313,0,0,1323.73198079067,17,"a"
"99","GPR37",1.752712331822,8.5833932671984,38.0105382354949,1.82496917343933e-242,1.6356408206868e-241,543.949578337717,6,"a"
"100","GPR85",1.64620763495417,8.57231083928416,46.464530769996,0,0,739.123572716348,121,"a"
"101","GRIA1",1.54474271306365,8.88764355215812,38.8606750820675,6.7898482467957e-251,6.54010670208597e-250,563.266131834653,8,"a"
"102","GRIA2",1.57074339080785,8.97777587640387,41.0591913782009,7.8208496775203e-273,8.79714366411008e-272,613.747057196805,8,"a"
"103","GRIA3",1.59389920924984,8.79584049207495,39.1136138796263,2.07696336300611e-253,2.03566701543757e-252,569.082691357412,8,"e"
"104","GRID1",1.06815634503028,8.92409859499805,29.2678251640382,7.2462224843636e-159,3.5201938793604e-158,351.383544657132,8,"a"
"105","GRID2",2.72129696224089,7.85702673683827,66.0103017873483,0,0,1183.46521445843,8,"a"
"106","GRID2IP",1.75286482207496,7.62046874565234,46.9936638926518,0,0,751.630794339645,8,"a"
"107","GRIK1",1.792424827001,8.35721214116737,50.6518710876044,0,0,836.330045574275,8,"e"
"108","GRIK2",1.21735656844629,8.90674766092712,28.5908947230162,9.8955849159939e-153,4.54383570389199e-152,337.303013539651,8,"c"
"109","GRIK3",1.18573481971509,8.83460014035789,30.8306275597383,2.93442402133538e-173,1.57631239094811e-172,384.55290312473,8,"a"
"110","GRIK4",1.34178833867704,8.64983525589842,41.0435771596414,1.12112791625592e-272,1.25267359176328e-271,613.442019655523,8,"a"
"111","GRIN1",2.40756617021462,8.68957924318197,52.2135946303928,0,0,872.41469281713,8,"c"
"112","GRIN2A",1.86282669596957,8.58390139166546,41.9972121320609,3.05555986199397e-282,3.6579416633585e-281,635.516472692408,8,"c"
"113","GRIN2B",2.10842134104936,8.44163084078598,45.5698352376559,3.1761899361067e-318,5.11855220518229e-317,718.387170666783,8,"c"
"114","GRM1",2.42841787545796,8.0912628129565,51.4654212840423,0,0,855.208100235792,8,"e"
"115","GRM5",3.13338336639928,7.46701075303326,77.2895586148762,0,0,1422.58596261901,8,"a"
"116","GRM7",2.88530377143212,7.66643029890167,71.7867616816838,0,0,1307.85121323094,6,"a"
"117","HCN1",1.25867004539221,8.5621859735631,25.1101526701096,2.75873945150005e-122,1.03206413408797e-121,267.389914675344,5,"c"
"118","HCN2",1.49396691392047,9.01737581232299,81.7739193925157,0,0,1513.16249695811,5,"e"
"119","HCN4",2.83809557303627,7.44299211638844,81.5841713013142,0,0,1509.50380302781,5,"e"
"120","HEPACAM",2.20104452504495,8.52998556042781,43.6692089379473,4.64068265535626e-299,6.22222730430167e-298,674.263633657643,17,"c"
"121","HOXA1",-2.37365692927823,6.94926701946927,-60.8278356753138,0,0,1068.77875132309,1,"a"
