Table S17. Top 200 genes with burden of deleterious URVs in all epilepsy cases (AC=1),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gene,Ncase_carrier,Ncase_ptv,Ncase_mis,Ncase_infrindel,Ncase_noncarrier,Ncontrol_carrier,Ncontrol_ptv,Ncontrol_mis,Ncase_infrindel,Ncontrol_noncarrier,OR,Pval_obs,pli,misZ,ee_dom50,epi_id_top33,epi_dom43,brain,gabaaRec_19,gabaaergic_113,excitatoryRec_34,volIonChl_86
DNAJC13,6,6,0,0,9164,0,0,0,0,8436,Inf,0.032039291,1,1.439415612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GLI1,6,6,0,0,9164,0,0,0,0,8436,Inf,0.032039291,2.06E-05,0.304913718,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EYA4,6,1,4,1,9164,0,0,0,0,8436,Inf,0.032039291,0.222523076,0.724936428,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATP9B,6,6,0,0,9164,0,0,0,0,8436,Inf,0.032039291,1.69E-10,0.862420686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ZNF30,6,6,0,0,9164,0,0,0,0,8436,Inf,0.032039291,2.80E-07,-1.84086844,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ANKRD13B,6,1,5,0,9164,0,0,0,0,8436,Inf,0.032039291,0.945635697,3.623067843,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
STK39,6,3,3,0,9164,0,0,0,0,8436,Inf,0.032039291,0.998664969,2.804778382,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GGA2,6,5,0,1,9164,0,0,0,0,8436,Inf,0.032039291,0.000605938,-0.262154797,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HTR5A,6,5,0,1,9164,0,0,0,0,8436,Inf,0.032039291,0.150562302,1.322061932,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NPC1L1,6,6,0,0,9164,0,0,0,0,8436,Inf,0.032039291,1.81E-10,0.184396285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PPFIBP2,2,2,0,0,9168,9,9,0,0,8427,0.204261198,0.032283304,4.91E-15,-2.243618522,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MYO10,1,1,0,0,9169,7,5,0,2,8429,0.13132761,0.032321741,0.4845062,0.228426571,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INPPL1,1,0,1,0,9169,7,3,3,1,8429,0.13132761,0.032321741,0.838567278,2.326170475,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MEI1,1,1,0,0,9169,7,7,0,0,8429,0.13132761,0.032321741,1.02E-05,-0.52368368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ZNF226,1,1,0,0,9169,7,7,0,0,8429,0.13132761,0.032321741,1.34E-13,-2.416103568,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GTPBP2,1,0,1,0,9169,7,0,7,0,8429,0.13132761,0.032321741,0.989199671,4.253098019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GBF1,1,1,0,0,9169,7,6,0,1,8429,0.13132761,0.032321741,0.060532632,2.548566744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C11orf82,1,1,0,0,9169,7,7,0,0,8429,0.13132761,0.032321741,1.43E-10,-1.701400165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATXN7,1,1,0,0,9169,7,1,2,4,8429,0.13132761,0.032321741,0.865388524,0.386394557,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TFIP11,1,1,0,0,9169,7,6,0,1,8429,0.13132761,0.032321741,7.46E-07,2.09021619,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DNMT3A,5,3,3,0,9165,14,10,4,0,8422,0.328189541,0.036040557,8.06E-38,4.428827058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SYNE2,9,5,0,4,9161,19,16,0,3,8417,0.435214496,0.037910602,3.10E-08,-3.681082801,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
KCNQ4,10,3,7,0,9160,2,0,2,0,8434,4.60371179,0.040474818,0.99886526,4.034784165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MST1,8,4,3,1,9162,1,1,0,0,8435,7.365204104,0.040483564,9.25E-09,2.436111539,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PASK,8,6,0,2,9162,1,0,0,1,8435,7.365204104,0.040483564,2.95E-20,0.237364514,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SRRM2,8,0,0,0,9162,1,0,0,0,8435,7.365204104,0.040483564,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRPM6,8,8,0,0,9162,1,1,0,0,8435,7.365204104,0.040483564,0.917170513,1.347594481,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CUL7,8,7,0,1,9162,1,1,0,0,8435,7.365204104,0.040483564,6.03E-08,0.291518188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RAB40C,8,0,8,0,9162,1,0,1,0,8435,7.365204104,0.040483564,0.346756667,3.58389754,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DYNC1H1,37,1,35,1,9133,19,0,19,0,8417,1.794700537,0.043721372,1,13.83478412,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATM,15,15,0,0,9155,5,4,0,1,8431,2.762752594,0.044756138,3.02E-22,-0.436192841,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MYH3,3,2,1,0,9167,10,8,2,0,8426,0.275749973,0.0496212,1.91E-09,3.19585077,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IQGAP2,3,2,0,1,9167,10,9,0,1,8426,0.275749973,0.0496212,2.85E-13,0.332423858,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PTPRG,0,0,0,0,9170,4,3,0,1,8432,0,0.052691745,0.92103286,0.434275963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLC6A7,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.000474438,0.187474001,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CDC20B,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,2.70E-11,0.413938658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
QSOX2,0,0,0,0,9170,4,3,1,0,8432,0,0.052691745,0.018284655,1.558806677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ZNF416,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.011689081,0.623197124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AAGAB,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.1225525,-1.659804177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF3A,0,0,0,0,9170,4,2,0,2,8432,0,0.052691745,1,4.514812361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NRG3,0,0,0,0,9170,4,2,0,2,8432,0,0.052691745,0.107771893,1.528505128,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ITGA6,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.573881765,2.18757814,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCCB,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.047161404,-0.64499509,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RAD51C,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,1.21E-08,0.457137527,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LYZL2,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,1.90E-05,-0.074061482,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SH2D3C,0,0,0,0,9170,4,3,0,1,8432,0,0.052691745,0.011995578,2.138767828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOR1A,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.131925307,1.156457153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SCUBE3,0,0,0,0,9170,4,2,2,0,8432,0,0.052691745,0.999931716,2.804490836,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GTF3C4,0,0,0,0,9170,4,0,4,0,8432,0,0.052691745,0.568859508,3.842919851,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CMTM1,0,0,0,0,9170,4,2,0,2,8432,0,0.052691745,0.03894881,0.605907217,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGB6,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,2.17E-14,-1.88629865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
M1AP,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,1.34E-09,-0.2954689,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLEKHG5,0,0,0,0,9170,4,2,0,2,8432,0,0.052691745,0.000354218,0.628000952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASGR2,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,2.68E-05,-0.364388378,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INSC,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,2.34E-08,-0.715561539,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KCNJ14,0,0,0,0,9170,4,2,2,0,8432,0,0.052691745,6.33E-05,2.658951887,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FDXR,0,0,0,0,9170,4,3,0,1,8432,0,0.052691745,0.000490661,0.702322133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ALDH7A1,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,3.51E-08,0.14878214,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ELTD1,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,4.10E-05,-1.616367573,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEC61A2,0,0,0,0,9170,4,1,3,0,8432,0,0.052691745,0.979133883,3.273149133,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TSPAN11,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,1.63E-05,-0.328189699,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NEBL,0,0,0,0,9170,4,1,1,2,8432,0,0.052691745,8.57E-24,-2.502267893,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
STIL,0,0,0,0,9170,4,4,0,0,8432,0,0.052691745,0.684795012,-0.758881872,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
